"","X.x","site_no.x","dateTime","Flow_Inst.x","Site.x","Cat.x","X.y","site_no.y","Flow_Inst.y","Site.y","Cat.y","X.x.x","site_no.x.x","Flow_Inst.x.x","Site.x.x","Cat.x.x","X.y.y","site_no.y.y","Flow_Inst.y.y","Site.y.y","Cat.y.y"
"2789",2789,13185000,"2019-02-17 16:45:00",422,"BOISE RIVER NR TWIN SPRINGS ID ","Natural",7465,13206000,280,"BOISE RIVER AT GLENWOOD BRIDGE NR BOISE ID ","Managed",12141,13211205,721,"BOISE RIVER AT CALDWELL, ID ","Managed",16797,13213000,1040,"BOISE RIVER NR PARMA ID ","Managed"
"2790",2790,13185000,"2019-02-17 17:00:00",422,"BOISE RIVER NR TWIN SPRINGS ID ","Natural",7466,13206000,284,"BOISE RIVER AT GLENWOOD BRIDGE NR BOISE ID ","Managed",12142,13211205,721,"BOISE RIVER AT CALDWELL, ID ","Managed",16798,13213000,1050,"BOISE RIVER NR PARMA ID ","Managed"
"2791",2791,13185000,"2019-02-17 17:15:00",418,"BOISE RIVER NR TWIN SPRINGS ID ","Natural",7467,13206000,284,"BOISE RIVER AT GLENWOOD BRIDGE NR BOISE ID ","Managed",12143,13211205,721,"BOISE RIVER AT CALDWELL, ID ","Managed",16799,13213000,1040,"BOISE RIVER NR PARMA ID ","Managed"
"2792",2792,13185000,"2019-02-17 17:30:00",422,"BOISE RIVER NR TWIN SPRINGS ID ","Natural",7468,13206000,280,"BOISE RIVER AT GLENWOOD BRIDGE NR BOISE ID ","Managed",12144,13211205,721,"BOISE RIVER AT CALDWELL, ID ","Managed",16800,13213000,1040,"BOISE RIVER NR PARMA ID ","Managed"
"2793",2793,13185000,"2019-02-17 17:45:00",418,"BOISE RIVER NR TWIN SPRINGS ID ","Natural",7469,13206000,280,"BOISE RIVER AT GLENWOOD BRIDGE NR BOISE ID ","Managed",12145,13211205,721,"BOISE RIVER AT CALDWELL, ID ","Managed",16801,13213000,1040,"BOISE RIVER NR PARMA ID ","Managed"
"2794",2794,13185000,"2019-02-17 18:00:00",418,"BOISE RIVER NR TWIN SPRINGS ID ","Natural",7470,13206000,276,"BOISE RIVER AT GLENWOOD BRIDGE NR BOISE ID ","Managed",12146,13211205,721,"BOISE RIVER AT CALDWELL, ID ","Managed",16802,13213000,1040,"BOISE RIVER NR PARMA ID ","Managed"
"2795",2795,13185000,"2019-02-17 18:15:00",418,"BOISE RIVER NR TWIN SPRINGS ID ","Natural",7471,13206000,271,"BOISE RIVER AT GLENWOOD BRIDGE NR BOISE ID ","Managed",12147,13211205,716,"BOISE RIVER AT CALDWELL, ID ","Managed",16803,13213000,1040,"BOISE RIVER NR PARMA ID ","Managed"
"2796",2796,13185000,"2019-02-17 18:30:00",418,"BOISE RIVER NR TWIN SPRINGS ID ","Natural",7472,13206000,276,"BOISE RIVER AT GLENWOOD BRIDGE NR BOISE ID ","Managed",12148,13211205,721,"BOISE RIVER AT CALDWELL, ID ","Managed",16804,13213000,1040,"BOISE RIVER NR PARMA ID ","Managed"
"2797",2797,13185000,"2019-02-17 18:45:00",418,"BOISE RIVER NR TWIN SPRINGS ID ","Natural",7473,13206000,276,"BOISE RIVER AT GLENWOOD BRIDGE NR BOISE ID ","Managed",12149,13211205,721,"BOISE RIVER AT CALDWELL, ID ","Managed",16805,13213000,1040,"BOISE RIVER NR PARMA ID ","Managed"
"2798",2798,13185000,"2019-02-17 19:00:00",418,"BOISE RIVER NR TWIN SPRINGS ID ","Natural",7474,13206000,280,"BOISE RIVER AT GLENWOOD BRIDGE NR BOISE ID ","Managed",12150,13211205,716,"BOISE RIVER AT CALDWELL, ID ","Managed",16806,13213000,1040,"BOISE RIVER NR PARMA ID ","Managed"
"2799",2799,13185000,"2019-02-17 19:15:00",418,"BOISE RIVER NR TWIN SPRINGS ID ","Natural",7475,13206000,284,"BOISE RIVER AT GLENWOOD BRIDGE NR BOISE ID ","Managed",12151,13211205,716,"BOISE RIVER AT CALDWELL, ID ","Managed",16807,13213000,1040,"BOISE RIVER NR PARMA ID ","Managed"
